hbzId,subject,title,otherTitleInformation,corporateBodyForTitle
HT018257619,NULL,Zukunftsfragen der Hydrogeologie,NULL,NULL
HT014991135,NULL,Kinderlandverschickung,NULL,NULL
HT014991059,NULL,Bedrückende Jahre,NULL,NULL
HT014991065,NULL,Im Felde am Kanal,NULL,NULL
HT014991072,NULL,Verfluchter Krieg,NULL,NULL
HT014905643,NULL,Wissenschaftlicher Transfer für die Praxis der Sportspiele,"gemeinsames Symposium der dvs-Kommissionen Sportspiele, Fußball und Tennis vom 18. - 20. November 2004 an der Deutschen Sporthochschule Köln",NULL
HT014991077,NULL,Westflüchtlinge,NULL,NULL
HT014856866,NULL,Mikrolandschaften,landscape culture on the move,NULL
HT003349417,NULL,Führer zu archäologischen Denkmälern im Rheinland,NULL,NULL
HT015361086,NULL,"""Stoht op, stoht op, luorwet Guott, diän Hären, die Guorresmutter lott ues ähren""",Beiträge zur Geschichte der Warsteiner Wallfahrt nach Werl,NULL
HT015361116,NULL,Geschichte und Gegenwart der Sunderner Wallfahrt zur Gottesmutter von Werl,"""die Ordnung der Prozession war ausgezeichnet, der Gesang pompös, die Andacht herzlich, alle Teilnehmer waren ein Herz und eine Seele""",NULL
HT015361315,NULL,Die Schönstatt-Kapelle in Holthausen,eine historische und kunstgeschichtliche Betrachtung,NULL
HT015361352,NULL,Maria Immaculata Concepta et Concipiens,"die ""Wittig-Madonna"" in Meschede",NULL
HT015530596,NULL,Die Bewahrung des Feuers,Orchester im 21. Jahrhundert,NULL
HT015530610,NULL,Auch das ist Geschichte,NULL,NULL
HT015880230,NULL,Das Gothaer Stundenbuch,NULL,NULL
HT015882577,NULL,Werkausgabe,NULL,NULL
HT017103086,NULL,Brotzeit,NULL,NULL
HT016007657,NULL,200 Jahre kommunale Selbstverwaltung - Quo Vadis?,Dokumentation zur Veranstaltungsreihe 2008,NULL
HT006166594,NULL,Adel im Wandel,"Horn, 2. - 5. Juli 1990",NULL
HT019063731,NULL,"Crystal Engineering mit Alkan-α,ω-diphosphonsäuren unterschiedlicher Kettenlänge",NULL,NULL
HT019179448,NULL,Vom fauchenden Fafnir zum Fahrzeug der Zukunft – Aachen und das Auto,NULL,NULL
HT015471757,NULL,Sicherheitswissenschaftliches Kolloquium 2006 - 2007,"[... Beiträge der 24. bis 34. Sicherheitswissenschaftlichen Kolloquien ..., welche im Wintersemester 2006/2007 und im Sommersemester 2007 vom Fachgebiet Sicherheitstechnik, Sicherheits- und Qualitätsrecht der Abteilung Sicherheitstechnik im Fachbereich D der Bergischen Universität Wuppertal ... veranstaltet wurden]",NULL
HT018346624,NULL,Verortungen des Krankenhauses,NULL,NULL
HT015472476,NULL,Im Gefälle der Nacht,Gedichte,NULL
HT007482379,NULL,Brüggener Schriftenreihe,NULL,NULL
HT014089420,NULL,"Derek Curtis, Dai-Goan Chen, Peter Schumbrutzki, Satoshi Morita, Dirk Hennig, Monika Lang, Ung-Pil Byen",NULL,NULL
HT019214299,NULL,Hilden,[deutsch-englisch-tschechisch-polnisch],NULL
HT015361069,NULL,Schutzpatronin des Erzbistums,NULL,NULL
HT015361346,NULL,Maiandacht und Pfarrer Joseph Willmes,NULL,NULL
HT015361228,NULL,Zeugnisse der Marienverehrung im südlichen Sauerland,Maria als Kirchen- und Kapellenpatronin,NULL
HT015361355,NULL,Eine besondere Maiandacht am 23. Mai in Winkhausen,auf den Spuren der Jacobuspilger durch das Sauerland,NULL
HT015361350,NULL,Von Schmallenberg nach Kansas City und zurück,die alltägliche Marienverehrung der Agnes Dornseifer,NULL
HT015361358,NULL,Die Fatima-Madonna in der Pfarrkirche Dünschede,NULL,NULL
HT015361251,NULL,Der Wallfahrtsort Kohlhagen und seine Traditionen,NULL,NULL
HT015361363,NULL,Lourdes,"""Sagen Sie den Priestern, man soll hierher in Prozessionen kommen!""",NULL
HT015361368,NULL,Nationalsozialistische Kontrolle und Behinderung von Prozessionen und Wallfahrten im Kreis Olpe,NULL,NULL
HT015361283,NULL,"St. Petri Oelinghause - Pfarr-, Kloster-, Wallfahrtskirche",NULL,NULL
HT015361277,NULL,"Kapelle und Gottesmutterbild St. Maria de Lapide, Rüthen",NULL,NULL
HT015361291,NULL,Maria an Wegen des Schmallenberger Sauerlandes,NULL,NULL
HT015361297,NULL,Marienbildstöcke - ein unübersehbares Zeichen der Marienverehrung im kurkölnischen Sauerland am Beispiel der Gemeinde Kirchhundem,NULL,NULL
HT015361040,NULL,In Metall geprägte Frömmigkeit,die Devotionalienproduktion der Fa. Heinrich Kissing in Menden,NULL
HT015361301,NULL,Die Schönstatt-Bewegung im Sauerland,NULL,NULL
HT015361182,NULL,"""Maria Lauretana""",zur Ausmalung der ehemaligen Franziskaner- und Gymnasialkirche in Attendorn,NULL
BT000004617,NULL,Strukturprobleme und Weiterbildungsbedarf von Bergbaumaschinenherstellern,NULL,NULL
BT000004063,NULL,Zeichen des Glaubens,NULL,NULL
BT000004071,NULL,Nicolaus zu Bentheim,24. Mai - 21. Juni 1992,NULL
BT000003667,NULL,Zur Geschichte der Horner Burg,NULL,NULL
HT019205866,NULL,Nüss henger de Bahn,NULL,NULL
HT019112203,NULL,Heimatkundliche Mitteilungen,NULL,NULL
HT018541428,NULL,Zeiss Art Calendar,NULL,NULL
HT019413764,NULL,Die Künstler des Diemeltals,die Bildhauerfamilie Larenz ; Familiengeschichte und Kreuzwege,NULL
HT006467499,NULL,Stroh zu Gold spinnen,Gedichte 1986 - 1992,NULL
HT019056725,NULL,Genderaspekte in der stationären Alkoholentzugsbehandlung - Inwieweit beeinflusst das Geschlecht der Patienten die Art der medikamentösen Alkoholentgiftung?,NULL,NULL
HT009716481,NULL,Verhandlungen,Düsseldorf 1997,Westdeutscher Entomologentag
TT002654740,NULL,Die Symbole der Romanik und das Böse,NULL,NULL
HT015006279,NULL,Eine Bauernhochzeit anno 1875 in Südlengern,zur Verlobung wurde die Straße entlang Häcksel gestreut,NULL
HT015006283,NULL,Fahrradfahrer und Pferdekutscher mussten anno 1890 zur Ordnung gerufen werden,Polizeiverordung,NULL
HT015006289,NULL,Südlengern kocht westfälisch,"von Dicken Bohnen, Wurstebrot und der ""Westfälischen Ananas""",NULL
HT018459506,NULL,Veröffentlichungen,NULL,NULL
HT015573608,NULL,Die Kölner Spürnasen,NULL,NULL
HT009629092,NULL,International Law,classic and contemporary readings,NULL
