hbzId,subject
HT016986722,N162000
HT020142567,N163080
HT013055535,N422000
HT015367522,N422000
BT000024988,N425490
BT000164274,N584000
HT014714976,N163080
HT017340679,N126000
HT019602154,N163080
HT013981194,N126000
HT019486805,N574000
HT019958093,N163030
HT018955990,N555020
HT018111581,N423430
HT006780539,N562000
HT016716420,N555020
HT018861234,N207020
HT018860490,N126000
BT000012317,N240000
HT018210508,N584000
HT017687200,N163080
HT014492243,N102000
HT016016983,N163080
HT015278689,N162040
HT019470567,N126000
HT014259023,N425400
HT015525575,N163080
HT019555327,N240000
HT019129171,N425490
HT003590497,N584000
HT016808418,N126000
HT015450416,N126000
BT000001674,N163080
HT019740426,N162040
HT017331627,N102000
HT016756318,N799000
HT012998888,N102000
HT018884014,N534030
HT018164242,N163030
HT018811587,N725070
HT018995635,N162040
BT000156629,N162040
HT006995472,N562300
BT000008958,N163080
HT018860485,N163080
HT014637272,N126000
HT004147926,N544000
HT017355759,N564080
BT000138156,N423430
HT007304253,N102000
